idAdress;No voie;Type de voie;Voie;idCommune
1;190;RUE;CENTRALE;1
2;347;RUE;DU CHATEAU;2
3;58;AV;DU MONT BLANC;3
4;140;RUE;DE L'ABBE JOLIVET;4
5;39;RUE;BUFFON;5
6;28;AV;JEAN FALCONNIER;6
7;8;RUE;DE GENEVE;7
8;2;RUE;DU RECULET;7
9;1403;RUE;JEAN DE GINGINS;3
10;226;ALL;DES CAPUCINES;7
11;276;RTE;DE POUGNY;4
12;79;CRS;DE VERDUN;8
13;77;RUE;DU COMMERCE;9
14;240;RUE;DE PRE BAILLY;10
15;3;RUE;TURENNE;5
16;44;ALL;DU SQUARE DE LAUSANNE;3
17;59;RUE;ALEXANDRE BERARD;11
18;282;CHE;DES LONGES RAYES;12
19;54;GR;GRANDE RUE;13
20;1;RUE;DE GEX;14
21;17;LOT;LES JARDINS DE CHEVRY;2
22;329;RUE;DES CARPIERES;15
23;369;AV;CHARLES DE GAULLE;16
24;154;RUE;SUR LA VIGNETTE;17
25;6;RUE;DES USINIERS;10
26;2;RUE;DU JURA;7
27;54;RUE;MARCEL DEMIA;11
28;269;CHE;DE CHARIGNIN;18
29;322;RUE;DE BRETIGNY;19
30;132;ALL;DES HETRES;7
31;80;RUE;DE MEYRIN;14
32;4;RUE;DE LA MAIRIE;6
33;79;GR;GRANDE RUE DE BULLIEZ;16
34;8;RUE;DE LA BIENNE;20
35;29;RUE;REINE CLOTILDE;11
36;3;RUE;STE MARIE;18
37;956;RTE;DE BOURG;16
38;1;AV;DU BIJOU;14
39;58;CHE;DE LA PLANCHE BRULEE;14
40;211;RUE;CHANTEPIE;21
41;25;RUE;DE LA ROCHE SAMUEL;22
42;25;RUE;DE LA COMMUNE 1871;11
43;6;;DE LA TOUR;23
44;91;CHE;DE LA PLANCHE BRULEE;14
45;3;RUE;DU DOCTEUR GREZEL;24
46;28;RUE;DU DOC CHARCOT;25
47;312;RUE;DES TERRASSES;26
48;10;RUE;AMPERE;8
49;1;RUE;GERARD DE NERVAL;27
50;10;RUE;DES HAUTAINS;7
51;102;MAIL;DU NEUTRINO;21
52;84;RUE;DE MEYRIN;14
53;115;RUE;MASONOD;28
54;812;RUE;DES VERTES CAMPAGNES;10
55;26;CHE;DE LA PLANCHE BRULEE;14
56;2;RUE;DE CHAMP FUSY;7
57;53;ALL;DES PRUNUS;7
58;541;RUE;DES MONTS JURA;29
59;386;CHE;DES SOUPIRS;18
60;663;RTE;BLANCHE;15
61;377;RUE;DES ABATTOIRS;10
62;60;ALL;DES FRERES CAUDRON;11
63;86;RUE;DE LA REPUBLIQUE;5
